Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Lgc Ltd,632426,1151812,Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
04/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Lgc Ltd,632427,229384.5,Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
04/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Lgc Ltd,632428,26140,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0ly,Grant
01/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628953,713124.74,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
06/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,633058,84365.4,Dsit - Npl - Quantum Test And Eval-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
28/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,638928,28659,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
28/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,638931,963036.12,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
28/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,638933,76736.23,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
06/11/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Met Office,630617,4387431.09,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
25/11/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Uk Space Agency,637894,192000,Dsit - Nms - Npl Methane Emissions From Anaerobic Digestion-r & D Research And Development Expenditure,Sn2 1sz,Wga Only
