Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
15/07/2024,Nca - Additions - Other Loans - Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,609505,"£260,589.97",Dsit - Nms Npl Funding Activities-nca - Additions - Other Loans - Public Corporations,Tw11 0lw,Vendor
26/07/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,610772,"£186,159.62",Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
31/07/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,610773,"£276,165.44",Dsit - Npl Strategic Priorities Fund Analysis For Innovators-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
26/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,611377,"£472,357.00",Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
26/07/2024,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,611597,"£54,930.74",Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
26/07/2024,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,611597,"£414,159.88",Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
26/07/2024,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,611689,"£1,066,409.18",Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
26/07/2024,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,611699,"£625,124.81",Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
29/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,611903,"£674,410.00",Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
29/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,611905,"£137,595.00",Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
29/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,611935,"£193,422.00",Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
29/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,611936,"£553,918.00",Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
31/07/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,612541,"£283,333.33",Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
08/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",West Midlands Combined Authority,607870,"£35,322.00",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,B19 3sd,Grant
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",West Midlands Combined Authority,611715,"£47,970.00",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,B19 3sd,Grant
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Civil Aviation Authority,611723,"£28,489.95",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Rh6 0yr,Vendor
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Plymouth City Council,611735,"£208,834.20",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Pl1 3bl,Wga Only
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Care Quality Commission,611736,"£93,405.99",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,E20 1jq,Grant
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Mhra -  Medicines And Healthcare Products Regulatory Agency,611737,"£60,479.46",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,E14 4pu,Wga Only
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Powys County Council,611738,"£37,909.20",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ld1 5lg,Vendor
26/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Coventry City Council,611739,"£35,354.26",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Cv1 5rr,Wga Only
29/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Financial Reporting Council,611930,"£70,611.12",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ec2y 5as,Grant
29/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Argyll And Bute Council,611933,"£25,000.00",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Pa31 8rt,Grant
29/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tameside Metropolitan Borough Council,611939,"£26,046.42",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ol6 0gs,Grant
29/07/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Milton Keynes Council,611950,"£114,282.75",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Mk9 3ej,Grant
03/07/2024,Res - Npf - Agencies - General Fund,"Dsit - Science, Innovation And Growth - Dsit - Space",Uk Space Agency,606258,"£11,500,000.00",Dsit - Uk Space Agency - Supply Funding-res - Npf - Agencies - General Fund,Sn2 1sz,Wga Only
12/07/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Parent And Family Consulting Ltd,609043,"£30,046.84",Dsit - Security Team Policy & International Programme-current Grants To Private Sector - Npish,N1 9pf,Grant
01/07/2024,Kpmg And Ey Training,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Royal Academy Of Engineering Rae,605949,"£42,847.92",Dsit - Devolved Admin-kpmg And Ey Training,Sw1y 5dg,Vendor
31/07/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Digital And Technology Group - Dsit - Dtg Central,Consolidated Fund Account 6622,612896,"£182,812,884.79",Dsit- Ofcom Cfer Receipts - Central-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
05/07/2024,R&D Current Grants To Public Corporations,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,583640,"£96,794.98",Dsit - Commercialising Ac Res (Asap)-R&D Current Grants To Public Corporations,Sn2 1fl,Wga Only
05/07/2024,R&D Current Grants To Public Corporations,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,584321,"£36,828.00",Dsit - Commercialising Ac Res (Asap)-R&D Current Grants To Public Corporations,Sn2 1fl,Wga Only
05/07/2024,R&D Current Grants To Public Corporations,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,585348,"£50,000.00",Dsit - Commercialising Ac Res (Asap)-R&D Current Grants To Public Corporations,Sn2 1fl,Wga Only
05/07/2024,R&D Current Grants To Public Corporations,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,585361,"£181,613.24",Dsit - Commercialising Ac Res (Asap)-R&D Current Grants To Public Corporations,Sn2 1fl,Wga Only
16/07/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Government Communications Headquarters (Gchq),609897,"£70,000.00",Dsit - Anlys Crit And Emerg Tech (Pr)-Research And Development Expenditure,Gl51 0ex,Vendor
16/07/2024,Payments To Government Legal Department,Dsit - Corporate Services - Dsit - Legal Services,Government Legal Department,610068,"£2,059,750.00",Dsit - Corporate Services Admin-payments To Government Legal Department,Sw1h 9gl,Vendor
31/07/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Digital And Technology Group - Dsit - Dtg Central,Consolidated Fund Account 6622,612896,"£7,637,929.21",Dsit - Bduk Grant In Aid Funding-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
04/07/2024,Talent And Beis Exclusive Training,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,584768,"£28,488.00",Dsit - Corporate Services Admin-talent And Beis Exclusive Training,Fy1 9jn,Wga Only
17/07/2024,R & D Other It Consultancy,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ericsson Ltd,575253,"£46,740.00",Dsit- Onp- Uktl-uk Telecoms Lab-r & D Other It Consultancy,Rg1 1lx,Vendor
03/07/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nokia Uk Ltd,604660,"£62,329.48",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Bs32 4uf,Vendor
11/07/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ericsson Ltd,608753,"£121,188.00",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Rg1 1lx,Vendor
26/07/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,610712,"£707,810.00",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
26/07/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,610717,"£97,719.50",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
29/07/2024,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Strategy Directorate",Mckinsey And Company Inc Uk,611948,"£403,750.00",Dsit - Devolved Admin-consultancy Expenditure,Wc1a 1pb,Vendor
09/07/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Hutchison 3g Uk Ltd,602780,"£83,309.76",Dsit - Cell Broadcast System Prog 1-other Professional Services,Rg2 6gf,Vendor
02/07/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),606280,"£23,111,622.00",Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
31/07/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,"Gryphon Scientific, Llc",592504,"£131,577.94",Dsit - Admin Nrf Digital Tech-research And Development Expenditure,Md 20912,Vendor
23/07/2024,Other Goods/Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593854,"£350,244.00",Dsit - Devolved Admin-other Goods/Services,Sw1h 0et,Wga Only
23/07/2024,Other Goods/Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593854,"£1,086,517.40",Dsit - Devolved Admin-other Goods/Services,Sw1h 0et,Wga Only
05/07/2024,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Welsh Government,607075,"£2,239,109.00",Dsit - Devolved Admin-other Goods/Services,Cf10 3nq,Wga Only
12/07/2024,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Scottish Funding Council (Scottish Further And Higher Education Funding Council),607775,"£4,703,094.00",Dsit - He Research Capital: Scotland-other Goods/Services,Eh12 5hd,Grant
12/07/2024,Advertising,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,606227,"£46,790.64",Dsit - Eu Exit: Horizon Europe Association - Participation Fee-advertising,Se1 0sw,Vendor
03/07/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,606268,"£1,240,913.00",Dsit - British Academy-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
02/07/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,606279,"£259,149.00",Dsit - Academy Of Medical Sciences-r & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
