Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
17/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,621489,"£299,016.14",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
17/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telefonica Uk Ltd,621704,"£190,752.81",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Rg2 6uu,Vendor
23/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,622285,"£120,000.00",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
23/09/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Uk Shared Business Services Ltd,622309,"£43,200.00",Dsit - Diversification Strategy Prog-consultancy Expenditure,Np10 8qq,Vendor
24/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Bristol,623241,"£916,347.57",Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Bs8 1th,Vendor
25/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Compound Semiconductor Applications Catapult Ltd,623359,"£166,011.68",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Np10 8be,Grant
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,618087,"£95,000,000.00",Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
02/09/2024,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,618088,"£10,000,000.00",Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),618089,"£1,949,064.00",Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2db,Grant
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Arts And Humanities Research Council,618090,"£30,000,000.00",Dsit - Ahrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,618091,"£90,000,000.00",Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,618092,"£736,000,000.00",Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1et,Vendor
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Economic And Social Research Council,618093,"£65,000,000.00",Dsit - Esrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uj,Wga Only
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,618094,"£113,560,000.00",Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,618095,"£60,000,000.00",Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
02/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,618096,"£85,000,000.00",Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1sz,Wga Only
30/09/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),623900,"£4,333,870.00",Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2da,Grant
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622069,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622231,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622232,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622233,"£60,598.80",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622259,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622277,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622281,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622284,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Rg12 1rd,Vendor
