Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),599123,1309732,Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2db,Grant
12/06/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593836,3344251.43,Dsit - Cs Transition Costs Admin-other Services,Sw1h 0et,Wga Only
12/06/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593836,13005151.61,Dsit - Corporate Services Admin-other Services,Sw1h 0et,Wga Only
13/06/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593837,405273.24,Dsit - Cs Transition Costs Admin-other Services,Sw1h 0et,Wga Only
13/06/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593837,980106.73,Dsit - Corporate Services Admin-other Services,Sw1h 0et,Wga Only
13/06/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,601232,47563.8,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Rg12 1rd,Vendor
18/06/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,603535,120000,Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
27/06/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,605376,47233,Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
14/06/2024,R & D Uncapitalised Construction Costs,Dsit - Corporate Services - Dsit - Commercial,Government Property Agency,601616,1364025.26,Dsit - Ecmwf Hq-r & D Uncapitalised Construction Costs,B3 2bj,Vendor
28/06/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Corporate Services - Dsit - Commercial,Consolidated Fund Account 6622,605959,2268868.7,Dsit- Ico Cfer Receipts - Central-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
25/06/2024,Hire Of Interim Managers,"Dsit - Science, Innovation And Growth - Dsit - Science, Innovation And Growth Dg Office",Alexander Mann Solutions Ltd,589651,40244.69,Dsit - Devolved Admin-hire Of Interim Managers,Ec2n 3aq,Vendor
12/06/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Yougov Plc,593864,35250,Dsit - Digital Regulation Team Prog-research And Development Expenditure,Ec1y 8rt,Vendor
03/06/2024,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Kindeva Drug Delivery Ltd,596267,619303.15,Dsit - Devolved Admin-other Goods/Services,Le11 5hp,Grant
03/06/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Kindeva Drug Delivery Ltd,596267,249999.66,Dsit - Life Sciences Innovative Manufacturing Fund-capital Grants To Private Sector - Companies,Le11 5hp,Grant
