Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
29/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,630902,303750.52,Dsit - British Council International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,E20 1jq,Wga Only
10/10/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nicoli Consulting T/A Fida Partners,626611,60030,Dsit - Data Infrastructure Sec Res Ncsp-current Grants To Private Sector - Npish,Wc2b 4hn,Vendor
22/10/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nicoli Consulting T/A Fida Partners,629089,175905,Dsit - Data Infrastructure Sec Res Ncsp-current Grants To Private Sector - Npish,Wc2b 4hn,Vendor
02/10/2024,Ca - Clarity Travel Management,Dsit - Corporate Services - Dsit - Commercial,Corporate Travel Management (North) Ltd,624978,223148.88,Dsit - Devolved Admin-ca - Clarity Travel Management,Bd1 5hq,Vendor
04/10/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,625349,122796.82,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
07/10/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,625595,108418.5,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
16/10/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,627811,120749.06,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
16/10/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,627824,43355,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
31/10/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,627825,153215.94,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
03/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Glass Futures Ltd,625110,323911.8,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,S35 2py,Vendor
