Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
18/02/2025,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,658436,97464.37,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
18/02/2025,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,658437,70326,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
18/02/2025,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,658438,129743.78,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
05/02/2025,Marketing And Media,Dsit - Corporate Services - Dsit - Analysis Directorate,Ipsos (Market Research) Ltd,655652,26480,Dsit - Devolved Admin-marketing And Media,E1w 1yw,Vendor
17/02/2025,Learning And Dev - Cs Skills,Dsit - Corporate Services - Dsit - Analysis Directorate,Cabinet Office,656366,61506,Dsit - Devolved Admin-learning And Dev - Cs Skills,Np10 8fz,Wga Only
25/02/2025,Learning And Dev - Cs Skills,Dsit - Corporate Services - Dsit - Analysis Directorate,Cabinet Office,659673,102242,Dsit - Devolved Admin-learning And Dev - Cs Skills,Np10 8fz,Wga Only
10/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The James Hutton Institute,656331,192480.9,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Dd2 5da,Vendor
10/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Fera Science Ltd,656513,716683.21,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Yo41 1lz,Vendor
11/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Centre For Process Innovation Ltd,656802,99764.18,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Ts10 4rf,Grant
11/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Moredun Research Institute,656803,45663.32,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Eh26 0pz,Grant
14/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Science Museum Group,657889,35244.99,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Sw7 2dd,Vendor
06/02/2025,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Ai Policy,Pricewaterhousecoopers Llp,653904,37263.93,Dsit - Admin Nrf Digital Tech-current Grants To Private Sector - Npish,Bt1 6ge,Vendor
05/02/2025,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Npl Management Ltd,655298,36607.64,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Tw11 0lw,Vendor
24/02/2025,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Mhra -  Medicines And Healthcare Products Regulatory Agency,659970,49724.29,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Sw1w 9sz,Wga Only
24/02/2025,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Npl Management Ltd,660061,92332.7,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Tw11 0lw,Vendor
27/02/2025,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Ukri - Natural Environment Research Council,660911,31022.98,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Np10 8qq,Wga Only
17/02/2025,Finance & Accounting Advice,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Imperial College Projects Ltd,653047,27330,Dsit - Devolved Admin-finance & Accounting Advice,Sw7 2az,Vendor
04/02/2025,Faststream - Full Cost,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,654979,32691,Dsit - Devolved Admin-faststream - Full Cost,Np10 8fz,Wga Only
13/02/2025,Faststream - Full Cost,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,657525,68984,Dsit - Devolved Admin-faststream - Full Cost,Fy1 9jn,Wga Only
21/02/2025,Faststream - Full Cost,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,659461,671718,Dsit - Devolved Admin-faststream - Full Cost,Np10 8fz,Wga Only
24/02/2025,Faststream - Full Cost,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,659693,33496,Dsit - Devolved Admin-faststream - Full Cost,Fy1 9jn,Wga Only
24/02/2025,Faststream - Full Cost,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,659694,33568,Dsit - Devolved Admin-faststream - Full Cost,Fy1 9jn,Wga Only
05/02/2025,Consultancy Expenditure,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,654983,284600.4,Dsit - Devolved Admin-consultancy Expenditure,Np10 8fz,Wga Only
04/02/2025,Uk Subscriptions,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,S&P Global Market Intelligence Cic,653545,36253.74,Dsit - Telecoms Resilience And Security Prog-uk Subscriptions,Ny 10041,Vendor
